Index,CurrentCost,TotalCost,CurrentPackets,TotalPackets, TrafficIntensity
48,620,31470,23,1119,23.3125
49,700,32170,23,1142,23.3061
50,610,32780,23,1165,23.3
51,580,33360,21,1186,23.2549
52,580,33940,21,1207,23.2115
53,600,34540,22,1229,23.1887
54,580,35120,21,1250,23.1481
55,610,35730,23,1273,23.1455
56,580,36310,21,1294,23.1071
57,590,36900,22,1316,23.0877
58,580,37480,21,1337,23.0517
59,590,38070,22,1359,23.0339
60,560,38630,20,1379,22.9833
61,580,39210,21,1400,22.9508
62,580,39790,21,1421,22.9194
63,480,40270,20,1441,22.873
64,580,40850,21,1462,22.8438
65,580,41430,21,1483,22.8154
66,490,41920,21,1504,22.7879
67,580,42500,21,1525,22.7612
68,560,43060,20,1545,22.7206
69,600,43660,22,1567,22.7101
70,540,44200,19,1586,22.6571
71,580,44780,21,1607,22.6338
72,460,45240,19,1626,22.5833
73,560,45800,20,1646,22.5479
74,560,46360,20,1666,22.5135
75,570,46930,21,1687,22.4933
76,580,47510,21,1708,22.4737
77,560,48070,20,1728,22.4416
78,540,48610,19,1747,22.3974
79,540,49150,19,1766,22.3544
80,440,49590,18,1784,22.3
81,440,50030,18,1802,22.2469
82,440,50470,18,1820,22.1951
83,460,50930,19,1839,22.1566
84,460,51390,19,1858,22.119
85,560,51950,20,1878,22.0941
86,440,52390,18,1896,22.0465
87,540,52930,19,1915,22.0115
88,460,53390,19,1934,21.9773
89,440,53830,18,1952,21.9326
90,440,54270,18,1970,21.8889
91,420,54690,17,1987,21.8352
92,410,55100,16,2003,21.7717
93,420,55520,17,2020,21.7204
94,420,55940,17,2037,21.6702
95,400,56340,16,2053,21.6105
96,420,56760,17,2070,21.5625
97,420,57180,17,2087,21.5155
98,520,57700,18,2105,21.4796
99,420,58120,17,2122,21.4343
100,420,58540,17,2139,21.39
101,380,58920,15,2154,21.3267
102,380,59300,15,2169,21.2647
103,380,59680,15,2184,21.2039
104,380,60060,15,2199,21.1442
105,380,60440,15,2214,21.0857
106,370,60810,14,2228,21.0189
107,370,61180,14,2242,20.9533
108,370,61550,14,2256,20.8889
109,360,61910,13,2269,20.8165
110,270,62180,13,2282,20.7455
111,340,62520,12,2294,20.6667
112,370,62890,14,2308,20.6071
113,270,63160,13,2321,20.5398
114,350,63510,13,2334,20.4737
115,350,63860,13,2347,20.4087
116,370,64230,14,2361,20.3534
117,330,64560,12,2373,20.2821
118,230,64790,11,2384,20.2034
119,250,65040,12,2396,20.1345
120,340,65380,12,2408,20.0667
121,240,65620,11,2419,19.9917
122,360,65980,13,2432,19.9344
123,240,66220,11,2443,19.8618
124,240,66460,11,2454,19.7903
125,220,66680,10,2464,19.712
126,220,66900,10,2474,19.6349
127,220,67120,10,2484,19.5591
128,220,67340,10,2494,19.4844
129,110,67450,8,2502,19.3953
130,200,67650,9,2511,19.3154
131,210,67860,9,2520,19.2366
132,110,67970,8,2528,19.1515
133,210,68180,9,2537,19.0752
134,210,68390,9,2546,19
135,110,68500,8,2554,18.9185
136,80,68580,6,2560,18.8235
137,110,68690,8,2568,18.7445
138,210,68900,9,2577,18.6739
139,90,68990,7,2584,18.5899
140,90,69080,7,2591,18.5071
141,90,69170,7,2598,18.4255
142,90,69260,7,2605,18.3451
143,160,69420,6,2611,18.2587
144,60,69480,5,2616,18.1667
145,80,69560,6,2622,18.0828
146,80,69640,6,2628,18
147,80,69720,6,2634,17.9184
148,60,69780,5,2639,17.8311
149,90,69870,7,2646,17.7584
150,80,69950,6,2652,17.68
151,60,70010,5,2657,17.596
152,60,70070,5,2662,17.5132
153,60,70130,5,2667,17.4314
154,160,70290,6,2673,17.3571
155,60,70350,5,2678,17.2774
156,80,70430,6,2684,17.2051
157,60,70490,5,2689,17.1274
158,60,70550,5,2694,17.0506
159,50,70600,4,2698,16.9686
160,50,70650,4,2702,16.8875
161,50,70700,4,2706,16.8075
162,70,70770,5,2711,16.7346
163,70,70840,5,2716,16.6626
164,80,70920,6,2722,16.5976
165,70,70990,5,2727,16.5273
166,170,71160,6,2733,16.4639
167,170,71330,6,2739,16.4012
168,160,71490,5,2744,16.3333
169,140,71630,4,2748,16.2604
170,40,71670,3,2751,16.1824
171,160,71830,5,2756,16.117
172,160,71990,5,2761,16.0523
173,260,72250,6,2767,15.9942
174,180,72430,6,2773,15.9368
175,160,72590,5,2778,15.8743
176,60,72650,3,2781,15.8011
177,170,72820,5,2786,15.7401
178,170,72990,5,2791,15.6798
179,170,73160,5,2796,15.6201
180,170,73330,5,2801,15.5611
181,170,73500,5,2806,15.5028
182,150,73650,4,2810,15.4396
183,280,73930,7,2817,15.3934
184,270,74200,6,2823,15.3424
185,160,74360,4,2827,15.2811
186,240,74600,4,2831,15.2204
187,280,74880,6,2837,15.1711
188,280,75160,6,2843,15.1223
189,280,75440,6,2849,15.0741
190,280,75720,6,2855,15.0263
191,260,75980,5,2860,14.9738
192,280,76260,6,2866,14.9271
193,260,76520,5,2871,14.8756
194,260,76780,5,2876,14.8247
195,260,77040,5,2881,14.7744
196,260,77300,5,2886,14.7245
197,240,77540,4,2890,14.6701
198,280,77820,6,2896,14.6263
199,300,78120,7,2903,14.5879
200,260,78380,5,2908,14.54
201,300,78680,7,2915,14.5025
202,300,78980,7,2922,14.4653
203,300,79280,7,2929,14.4286
204,300,79580,7,2936,14.3922
205,400,79980,8,2944,14.361
206,300,80280,7,2951,14.3252
207,300,80580,7,2958,14.2899
208,320,80900,8,2966,14.2596
209,320,81220,8,2974,14.2297
210,300,81520,7,2981,14.1952
211,320,81840,8,2989,14.1659
212,330,82170,9,2998,14.1415
213,320,82490,8,3006,14.1127
214,320,82810,8,3014,14.0841
215,340,83150,9,3023,14.0605
216,360,83510,11,3034,14.0463
217,370,83880,11,3045,14.0323
218,350,84230,10,3055,14.0138
219,460,84690,12,3067,14.0046
220,460,85150,12,3079,13.9955
221,350,85500,10,3089,13.9774
222,450,85950,11,3100,13.964
223,460,86410,12,3112,13.9552
224,430,86840,10,3122,13.9375
225,460,87300,12,3134,13.9289
226,460,87760,12,3146,13.9204
227,480,88240,13,3159,13.9163
228,460,88700,12,3171,13.9079
229,380,89080,12,3183,13.8996
230,360,89440,11,3194,13.887
231,460,89900,12,3206,13.8788
232,490,90390,14,3220,13.8793
233,490,90880,14,3234,13.8798
234,490,91370,14,3248,13.8803
235,460,91830,12,3260,13.8723
236,490,92320,14,3274,13.8729
237,520,92840,16,3290,13.8819
238,490,93330,14,3304,13.8824
239,490,93820,14,3318,13.8828
240,490,94310,14,3332,13.8833
241,490,94800,14,3346,13.8838
242,500,95300,15,3361,13.8884
243,500,95800,15,3376,13.893
244,500,96300,15,3391,13.8975
245,520,96820,16,3407,13.9061
246,520,97340,16,3423,13.9146
247,640,97980,18,3441,13.9312
248,520,98500,16,3457,13.9395
249,520,99020,16,3473,13.9478
250,500,99520,15,3488,13.952
251,540,100060,17,3505,13.9641
252,560,100620,18,3523,13.9802
253,560,101180,18,3541,13.996
254,540,101720,17,3558,14.0079
255,570,102290,19,3577,14.0275
256,580,102870,19,3596,14.0469
257,660,103530,19,3615,14.0661
258,560,104090,18,3633,14.0814
259,560,104650,18,3651,14.0965
260,550,105200,18,3669,14.1115
261,550,105750,18,3687,14.1264
262,570,106320,19,3706,14.145
263,560,106880,18,3724,14.1597
264,570,107450,19,3743,14.178
265,560,108010,18,3761,14.1925
266,590,108600,20,3781,14.2143
267,570,109170,19,3800,14.2322
268,570,109740,19,3819,14.25
269,670,110410,20,3839,14.2714
270,580,110990,20,3859,14.2926
271,580,111570,20,3879,14.3137
272,540,112110,18,3897,14.3272
273,580,112690,20,3917,14.348
274,580,113270,20,3937,14.3686
275,590,113860,21,3958,14.3927
276,580,114440,20,3978,14.413
277,590,115030,21,3999,14.4368
278,600,115630,21,4020,14.4604
279,580,116210,20,4040,14.4803
280,560,116770,19,4059,14.4964
281,610,117380,22,4081,14.5231
282,590,117970,21,4102,14.5461
283,590,118560,21,4123,14.5689
284,590,119150,21,4144,14.5915
285,590,119740,21,4165,14.614
286,690,120430,22,4187,14.6399
287,590,121020,21,4208,14.662
288,590,121610,21,4229,14.684
289,570,122180,20,4249,14.7024
290,590,122770,21,4270,14.7241
291,580,123350,20,4290,14.7423
292,590,123940,21,4311,14.7637
293,590,124530,21,4332,14.785
294,570,125100,20,4352,14.8027
295,600,125700,22,4374,14.8271
296,620,126320,23,4397,14.8547
297,600,126920,22,4419,14.8788
298,600,127520,22,4441,14.9027
299,600,128120,22,4463,14.9264
300,720,128840,24,4487,14.9567
301,600,129440,22,4509,14.9801
302,600,130040,22,4531,15.0033
303,600,130640,22,4553,15.0264
304,580,131220,21,4574,15.0461
305,590,131810,21,4595,15.0656
306,600,132410,22,4617,15.0882
307,600,133010,22,4639,15.1107
308,620,133630,23,4662,15.1364
309,620,134250,23,4685,15.1618
310,600,134850,22,4707,15.1839
311,620,135470,23,4730,15.209
312,620,136090,23,4753,15.234
313,620,136710,23,4776,15.2588
314,630,137340,24,4800,15.2866
315,630,137970,24,4824,15.3143
316,600,138570,22,4846,15.3354
317,640,139210,24,4870,15.3628
318,620,139830,23,4893,15.3868
319,620,140450,23,4916,15.4107
320,620,141070,23,4939,15.4344
321,720,141790,24,4963,15.4611
322,740,142530,25,4988,15.4907
323,620,143150,23,5011,15.5139
324,620,143770,23,5034,15.537
325,630,144400,24,5058,15.5631
326,620,145020,23,5081,15.5859
327,600,145620,22,5103,15.6055
328,620,146240,23,5126,15.628
329,720,146960,24,5150,15.6535
330,620,147580,23,5173,15.6758
331,580,148160,21,5194,15.6918
332,720,148880,24,5218,15.7169
333,620,149500,23,5241,15.7387
334,720,150220,24,5265,15.7635
335,620,150840,23,5288,15.7851
336,620,151460,23,5311,15.8065
337,720,152180,24,5335,15.8309
338,630,152810,24,5359,15.855
339,640,153450,24,5383,15.8791
340,620,154070,23,5406,15.9
341,620,154690,23,5429,15.9208
342,620,155310,23,5452,15.9415
343,620,155930,23,5475,15.9621
344,620,156550,23,5498,15.9826
345,620,157170,23,5521,16.0029
346,600,157770,22,5543,16.0202
347,640,158410,24,5567,16.0432
348,620,159030,23,5590,16.0632
349,560,159590,20,5610,16.0745
350,610,160200,23,5633,16.0943
351,600,160800,22,5655,16.1111
352,600,161400,22,5677,16.1278
353,580,161980,21,5698,16.1416
354,600,162580,22,5720,16.1582
355,600,163180,22,5742,16.1746
356,580,163760,21,5763,16.1882
357,600,164360,22,5785,16.2045
358,610,164970,23,5808,16.2235
359,580,165550,21,5829,16.2368
360,600,166150,22,5851,16.2528
361,580,166730,21,5872,16.2659
362,580,167310,21,5893,16.279
363,580,167890,21,5914,16.292
364,560,168450,20,5934,16.3022
365,580,169030,21,5955,16.3151
366,590,169620,22,5977,16.3306
367,580,170200,21,5998,16.3433
368,590,170790,22,6020,16.3587
369,590,171380,22,6042,16.374
370,560,171940,20,6062,16.3838
371,560,172500,20,6082,16.3935
372,580,173080,21,6103,16.4059
373,520,173600,18,6121,16.4102
374,560,174160,20,6141,16.4198
375,560,174720,20,6161,16.4293
376,560,175280,20,6181,16.4388
377,560,175840,20,6201,16.4483
378,560,176400,20,6221,16.4577
379,580,176980,21,6242,16.4697
380,560,177540,20,6262,16.4789
381,460,178000,19,6281,16.4856
382,440,178440,18,6299,16.4895
383,470,178910,20,6319,16.4987
384,460,179370,19,6338,16.5052
385,440,179810,18,6356,16.5091
386,440,180250,18,6374,16.513
387,440,180690,18,6392,16.5168
388,420,181110,17,6409,16.518
389,440,181550,18,6427,16.5219
390,420,181970,17,6444,16.5231
391,420,182390,17,6461,16.5243
392,420,182810,17,6478,16.5255
393,420,183230,17,6495,16.5267
394,420,183650,17,6512,16.5279
395,440,184090,18,6530,16.5316
396,420,184510,17,6547,16.5328
397,420,184930,17,6564,16.534
398,420,185350,17,6581,16.5352
399,420,185770,17,6598,16.5363
400,420,186190,17,6615,16.5375
401,380,186570,15,6630,16.5337
402,380,186950,15,6645,16.5299
403,380,187330,15,6660,16.5261
404,380,187710,15,6675,16.5223
405,380,188090,15,6690,16.5185
406,350,188440,13,6703,16.5099
407,270,188710,13,6716,16.5012
408,270,188980,13,6729,16.4926
409,370,189350,14,6743,16.4866
410,270,189620,13,6756,16.478
411,370,189990,14,6770,16.472
412,370,190360,14,6784,16.466
413,400,190760,16,6800,16.4649
414,350,191110,13,6813,16.4565
415,350,191460,13,6826,16.4482
416,350,191810,13,6839,16.4399
417,350,192160,13,6852,16.4317
418,250,192410,12,6864,16.4211
419,250,192660,12,6876,16.4105
420,140,192800,10,6886,16.3952
421,240,193040,11,6897,16.3824
422,260,193300,12,6909,16.372
423,270,193570,13,6922,16.3641
424,240,193810,11,6933,16.3514
425,240,194050,11,6944,16.3388
426,220,194270,10,6954,16.3239
427,320,194590,11,6965,16.3115
428,240,194830,11,6976,16.2991
429,340,195170,12,6988,16.289
430,310,195480,11,6999,16.2767
431,110,195590,8,7007,16.2575
432,210,195800,9,7016,16.2407
